Action	Utilisateur	Nom	Condition	Exceptions
Autoriser	Tout le monde	C:: SYSINTERNALS REGDELNULL sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: SYSINTERNALS REGJUMP sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: SYSINTERNALS RU sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: SYSINTERNALS SDELETE sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: SYSINTERNALS SHAREENUM sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: SYSINTERNALS SHELLRUNAS sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: SYSINTERNALS SIGCHECK sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: SYSINTERNALS STREAMS sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: SYSINTERNALS STRINGS sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: SYSINTERNALS SYNC sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: TCPVCON sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: TCPVIEW sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: SYSINTERNALS TESTLIMIT sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: VMMAP sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: SYSINTERNALS VOLUMEID sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: SYSINTERNALS WHOIS sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
